time,x,y,theta,vx,vy,wz,vx_des,vy_des,wz_des
273.293872378,-0.007178797934390687,-0.008898450178501147,0.000685476996789447,0.0,0.0,0.0,0.0,0.0,0.0
273.396350761,-0.0076682117666004405,-0.008290505924913363,0.0004786845781383775,0.0,0.0,0.0,0.0,0.0,0.0
273.396350761,-0.0076682117666004405,-0.008290505924913363,0.0004786845781383775,0.0,0.0,0.0,0.0,0.0,0.0
273.500512005,-0.008091379460721151,-0.007956331436276208,-3.7574963173803155e-05,0.0,0.0,0.0,0.0,0.0,0.0
273.500512005,-0.008091379460721151,-0.007956331436276208,-3.7574963173803155e-05,0.0,0.0,0.0,0.0,0.0,0.0
273.593596606,-0.009393406063238694,-0.008313531800533593,0.001442589790318749,0.0,0.0,0.0,0.0,0.0,0.0
273.593596606,-0.009393406063238694,-0.008313531800533593,0.001442589790318749,0.0,0.0,0.0,0.0,0.0,0.0
273.698991003,-0.011171926992878622,-0.008425287783153768,0.0006614124307935398,0.0,0.0,0.0,0.0,0.0,0.0
273.698991003,-0.011171926992878622,-0.008425287783153768,0.0006614124307935398,0.0,0.0,0.0,0.0,0.0,0.0
273.791634637,-0.012780082267159753,-0.00873275330911771,0.0018315215481905511,0.0,0.0,0.0,0.0,0.0,0.0
273.791634637,-0.012780082267159753,-0.00873275330911771,0.0018315215481905511,0.0,0.0,0.0,0.0,0.0,0.0
273.89283732800004,-0.013268554966198828,-0.008942220691585536,0.0010134626857194462,0.0,0.0,0.0,0.0,0.0,0.0
273.89283732800004,-0.013268554966198828,-0.008942220691585536,0.0010134626857194462,0.0,0.0,0.0,0.0,0.0,0.0
273.99419007200004,-0.01207910915044525,-0.007357112486385455,0.0005056403304655177,0.0,0.0,0.0,0.0,0.0,0.0
273.99419007200004,-0.01207910915044525,-0.007357112486385455,0.0005056403304655177,0.0,0.0,0.0,0.0,0.0,0.0
274.093252039,-0.009678179362911158,-0.006968669569061874,-0.0002473715407655952,0.0,0.0,0.0,0.0,0.0,0.0
274.093252039,-0.009678179362911158,-0.006968669569061874,-0.0002473715407655952,0.0,0.0,0.0,0.0,0.0,0.0
274.193002615,-0.006904708292821931,-0.007009872418484191,-0.00044793680637056354,0.0,0.0,0.0,0.0,0.0,0.0
274.193002615,-0.006904708292821931,-0.007009872418484191,-0.00044793680637056354,0.0,0.0,0.0,0.0,0.0,0.0
274.29243310600003,-0.006896849337715178,-0.007728697066872662,0.0006767604375443881,0.0,0.0,0.0,0.0,0.0,0.0
274.29243310600003,-0.006896849337715178,-0.007728697066872662,0.0006767604375443881,0.0,0.0,0.0,0.0,0.0,0.0
274.396837299,-0.006666977321069811,-0.008871797203509982,-0.0003199673007712178,0.0,0.0,0.0,0.0,0.0,0.0
274.396837299,-0.006666977321069811,-0.008871797203509982,-0.0003199673007712178,0.0,0.0,0.0,0.0,0.0,0.0
274.49179804100004,-0.007605293180954375,-0.008922562389209377,0.00025619181429625826,0.0,0.0,0.0,0.0,0.0,0.0
274.49179804100004,-0.007605293180954375,-0.008922562389209377,0.00025619181429625826,0.0,0.0,0.0,0.0,0.0,0.0
274.596264483,-0.007845378655952574,-0.008558018453195234,-9.836054813128214e-05,0.0,0.0,0.0,0.0,0.0,0.0
274.596264483,-0.007845378655952574,-0.008558018453195234,-9.836054813128214e-05,0.0,0.0,0.0,0.0,0.0,0.0
274.596264483,-0.007845378655952574,-0.008558018453195234,-9.836054813128214e-05,0.0,0.0,0.0,0.0,0.0,0.0
274.596264483,-0.007845378655952574,-0.008558018453195234,-9.836054813128214e-05,0.0,0.0,0.0,0.0,0.0,0.0
274.815844487,-0.010696476270140214,-0.009371868393462287,0.0018236783198926076,0.0,0.0,0.0,0.0,0.0,0.0
274.815844487,-0.010696476270140214,-0.009371868393462287,0.0018236783198926076,0.0,0.0,0.0,0.0,0.0,0.0
274.892994944,-0.011433588773397644,-0.009754418002201224,0.0007819635176353756,0.0,0.0,0.0,0.0,0.0,0.0
274.892994944,-0.011433588773397644,-0.009754418002201224,0.0007819635176353756,0.0,0.0,0.0,0.0,0.0,0.0
275.00172222000003,-0.011943153951465975,-0.009699663966735288,0.001447219423985402,0.0,0.0,0.0,0.0,0.0,0.0
275.00172222000003,-0.011943153951465975,-0.009699663966735288,0.001447219423985402,0.0,0.0,0.0,0.0,0.0,0.0
275.092769491,-0.010300008119338455,-0.008814207967405502,0.0003768011518303638,0.0,0.0,0.0,0.0,0.0,0.0
275.092769491,-0.010300008119338455,-0.008814207967405502,0.0003768011518303638,0.0,0.0,0.0,0.0,0.0,0.0
275.19580106200004,-0.007526179856859,-0.0087196122238262,-0.0006438088010090048,0.0,0.0,0.0,0.0,0.0,0.0
275.19580106200004,-0.007526179856859,-0.0087196122238262,-0.0006438088010090048,0.0,0.0,0.0,0.0,0.0,0.0
275.296149991,-0.006099688916572032,-0.009612467670858216,0.0003304782436206466,0.0,0.0,0.0,0.0,0.0,0.0
275.296149991,-0.006099688916572032,-0.009612467670858216,0.0003304782436206466,0.0,0.0,0.0,0.0,0.0,0.0
275.397109826,-0.0065569284867889426,-0.009912023037632675,0.0004796532291599931,0.0,0.0,0.0,0.0,0.0,0.0
275.397109826,-0.0065569284867889426,-0.009912023037632675,0.0004796532291599931,0.0,0.0,0.0,0.0,0.0,0.0
275.50018805400003,-0.007510694899929974,-0.008444090442616832,0.00012041219304226303,0.0,0.0,0.0,0.0,0.0,0.0
275.50018805400003,-0.007510694899929974,-0.008444090442616832,0.00012041219304226303,0.0,0.0,0.0,0.0,0.0,0.0
